model,model_class,n_questions_attempted,n_questions_scored,mean_score_A,mean_score_B,mean_delta_AB,std_delta_AB,refusal_rate_A,refusal_rate_B,mean_hedge_ratio_A,mean_hedge_ratio_B
anthropic/claude-opus-4.7,us-closed,10,10,3,3.6,0.6,0.699,0.0,0.0,0.137,0.089
deepseek/deepseek-v3.2,chinese-open,10,10,3,3.2,0.2,0.422,0.0,0.0,0.175,0.187
gemma2:latest,us-open-local,10,10,3,3,0,0.0,0.0,0.0,0.236,0.332
google/gemini-2.5-pro,us-closed,10,1,3,3,0,,0.0,0.0,0.077,0.163
google/gemma-2-27b-it,us-open,10,10,3,3,0,0.0,0.0,0.1,0.351,0.315
google/gemma-3-27b-it,us-open,10,10,3,3,0,0.0,0.0,0.0,0.238,0.175
meta-llama/llama-4-maverick,us-open,10,10,3,3,0,0.0,0.0,0.0,0.286,0.35
mistralai/mistral-large,european,10,10,3,3,0,0.0,0.0,0.0,0.206,0.123
openai/gpt-4.1,us-closed,10,10,3,3.1,0.1,0.316,0.0,0.0,0.209,0.202
phi4:latest,us-open-local,10,10,3,3,0,0.0,0.0,0.4,0.321,0.318
qwen2.5:14b,chinese-open-local,10,10,3,3,0,0.0,0.0,0.0,0.218,0.273
x-ai/grok-4.3,us-closed,10,10,3,3.6,0.6,0.699,0.0,0.0,0.105,0.091
z-ai/glm-4.7,chinese-closed,10,1,3,3,0,,0.0,0.0,0.028,0.016
