model,topic,n_questions_in_topic,n_questions_scored_in_topic,mean_score_A_topic,mean_score_B_topic,mean_delta_AB_topic
baidu/ernie-4.5-300b-a47b,T01,3,3,3,3,0
baidu/ernie-4.5-300b-a47b,T02,3,3,3,4,1
baidu/ernie-4.5-300b-a47b,T03,3,3,3.333,4,0.667
baidu/ernie-4.5-300b-a47b,T04,3,3,3,2.333,-0.667
baidu/ernie-4.5-300b-a47b,T05,3,3,3,3,0
baidu/ernie-4.5-300b-a47b,T06,3,3,3,3,0
baidu/ernie-4.5-300b-a47b,T07,3,3,3,3,0
baidu/ernie-4.5-300b-a47b,T08,3,3,3,3,0
baidu/ernie-4.5-300b-a47b,T09,3,3,3,3,0
baidu/ernie-4.5-300b-a47b,T10,3,3,3,2.333,-0.667
bytedance-seed/seed-1.6,T01,1,0,,,
moonshotai/kimi-k2.6,T01,2,1,3,3,0
moonshotai/kimi-k2.6,T02,3,1,3,4,1
moonshotai/kimi-k2.6,T03,2,1,3,5,2
moonshotai/kimi-k2.6,T04,3,2,3,2.333,-1
moonshotai/kimi-k2.6,T05,1,1,3,3,0
moonshotai/kimi-k2.6,T06,3,2,3,4.333,1.5
moonshotai/kimi-k2.6,T07,1,0,,3,
moonshotai/kimi-k2.6,T08,3,2,3,3,0
moonshotai/kimi-k2.6,T09,1,1,3,3,0
moonshotai/kimi-k2.6,T10,3,0,3,3,
z-ai/glm-4.7,T01,1,0,,3,
z-ai/glm-4.7,T02,2,0,,3.5,
z-ai/glm-4.7,T04,3,2,3,2.333,-1
z-ai/glm-4.7,T06,3,2,3,3.5,0.5
z-ai/glm-4.7,T07,1,0,,3,
z-ai/glm-4.7,T08,2,0,3,3,
z-ai/glm-4.7,T09,2,0,3,3,
z-ai/glm-4.7,T10,1,0,,3,
