model,model_class,n_questions_attempted,n_questions_scored,mean_score_A,mean_score_B,mean_delta_AB,std_delta_AB,refusal_rate_A,refusal_rate_B,mean_hedge_ratio_A,mean_hedge_ratio_B
anthropic/claude-opus-4,us-closed,30,30,3,3.267,0.267,0.45,0.0,0.0,0.396,0.224
anthropic/claude-opus-4.1,us-closed,30,30,3,3.4,0.4,0.563,0.0,0.0,0.351,0.234
anthropic/claude-opus-4.5,us-closed,30,30,3,3.233,0.233,0.43,0.0,0.0,0.276,0.155
anthropic/claude-opus-4.6,us-closed,30,30,3.033,3.433,0.4,0.498,0.0,0.0,0.25,0.107
deepseek/deepseek-chat,chinese-open,30,30,2.933,3.333,0.4,0.855,0.0,0.0,0.161,0.116
deepseek/deepseek-chat-v3.1,chinese-open,30,30,3,3.267,0.267,0.583,0.0,0.0,0.189,0.166
google/gemini-2.0-flash-001,us-closed,30,30,3.033,3.033,0,0.263,0.0,0.0,0.223,0.259
moonshotai/kimi-k2,unknown,29,27,3.036,3.552,0.444,1.121,0.0,0.0,0.096,0.04
moonshotai/kimi-k2-thinking,unknown,28,25,3,3.519,0.48,0.714,0.0,0.0,0.159,0.131
qwen/qwen-2.5-72b-instruct,chinese-open,22,12,3,3.062,0.083,0.289,0.0,0.0,0.218,0.206
z-ai/glm-4.5,chinese-closed,25,24,2.96,3.379,0.333,0.637,0.0,0.0,0.368,0.153
z-ai/glm-4.6,chinese-closed,15,8,3,3.125,0.125,0.354,0.0,0.0,0.186,0.145
