model,topic,n_questions_in_topic,n_questions_scored_in_topic,mean_score_A_topic,mean_score_B_topic,mean_delta_AB_topic
qwen2.5-7b-abliterated-greedy,T01,1,1,3,3,0
qwen2.5-7b-abliterated-greedy,T02,1,1,3,3,0
qwen2.5-7b-abliterated-greedy,T03,1,1,3,4,1
qwen2.5-7b-abliterated-greedy,T04,1,1,3,3,0
qwen2.5-7b-abliterated-greedy,T05,1,1,3,3,0
qwen2.5-7b-abliterated-greedy,T06,1,1,3,3,0
qwen2.5-7b-abliterated-greedy,T07,1,1,3,1,-2
qwen2.5-7b-abliterated-greedy,T08,1,1,3,3,0
qwen2.5-7b-abliterated-greedy,T09,1,1,3,3,0
qwen2.5-7b-abliterated-greedy,T10,1,1,3,1,-2
qwen2.5-7b-abliterated-strong,T01,1,1,3,3,0
qwen2.5-7b-abliterated-strong,T02,1,1,3,3,0
qwen2.5-7b-abliterated-strong,T03,1,1,2,4,2
qwen2.5-7b-abliterated-strong,T04,1,1,3,3,0
qwen2.5-7b-abliterated-strong,T05,1,1,3,3,0
qwen2.5-7b-abliterated-strong,T06,1,1,3,3,0
qwen2.5-7b-abliterated-strong,T07,1,1,3,2,-1
qwen2.5-7b-abliterated-strong,T08,1,1,3,3,0
qwen2.5-7b-abliterated-strong,T09,1,1,3,3,0
qwen2.5-7b-abliterated-strong,T10,1,1,3,2,-1
qwen2.5-7b-stock-greedy,T01,1,1,3,3,0
qwen2.5-7b-stock-greedy,T02,1,1,3,3,0
qwen2.5-7b-stock-greedy,T03,1,1,3,3,0
qwen2.5-7b-stock-greedy,T04,1,1,3,3,0
qwen2.5-7b-stock-greedy,T05,1,1,3,3,0
qwen2.5-7b-stock-greedy,T06,1,1,3,3,0
qwen2.5-7b-stock-greedy,T07,1,1,3,2,-1
qwen2.5-7b-stock-greedy,T08,1,1,3,3,0
qwen2.5-7b-stock-greedy,T09,1,1,3,3,0
qwen2.5-7b-stock-greedy,T10,1,1,3,2,-1
