model,topic,n_questions_in_topic,n_questions_scored_in_topic,mean_score_A_topic,mean_score_B_topic,mean_delta_AB_topic
gemma-2-9b-abliterated,T01,1,1,3,3,0
gemma-2-9b-abliterated,T02,1,1,3,3,0
gemma-2-9b-abliterated,T03,1,1,3,3,0
gemma-2-9b-abliterated,T04,1,1,3,3,0
gemma-2-9b-abliterated,T05,1,1,3,3,0
gemma-2-9b-abliterated,T06,1,1,3,3,0
gemma-2-9b-abliterated,T07,1,1,3,3,0
gemma-2-9b-abliterated,T08,1,1,3,3,0
gemma-2-9b-abliterated,T09,1,1,3,3,0
gemma-2-9b-abliterated,T10,1,1,3,3,0
gemma-2-9b-stock,T01,1,1,3,3,0
gemma-2-9b-stock,T02,1,1,3,3,0
gemma-2-9b-stock,T03,1,1,3,3,0
gemma-2-9b-stock,T04,1,1,3,3,0
gemma-2-9b-stock,T05,1,1,3,3,0
gemma-2-9b-stock,T06,1,1,3,3,0
gemma-2-9b-stock,T07,1,1,3,3,0
gemma-2-9b-stock,T08,1,1,3,3,0
gemma-2-9b-stock,T09,1,1,3,3,0
gemma-2-9b-stock,T10,1,1,3,3,0
