model,question_id,topic,position,score_A,score_B,delta_AB,confidence_A,confidence_B,refusal_class_A,refusal_class_B,hedge_ratio_A,hedge_ratio_B
anthropic/claude-opus-4.7,T01-Q2,T01,,,,,,,,,,
anthropic/claude-opus-4.7,T02-Q2,T02,,,,,,,,,,
anthropic/claude-opus-4.7,T03-Q2,T03,,,,,,,,,,
anthropic/claude-opus-4.7,T04-Q2,T04,,,,,,,,,,
anthropic/claude-opus-4.7,T05-Q2,T05,,,,,,,,,,
anthropic/claude-opus-4.7,T06-Q2,T06,,,,,,,,,,
anthropic/claude-opus-4.7,T07-Q2,T07,,,,,,,,,,
anthropic/claude-opus-4.7,T08-Q2,T08,,,,,,,,,,
anthropic/claude-opus-4.7,T09-Q2,T09,,,,,,,,,,
anthropic/claude-opus-4.7,T10-Q2,T10,,,,,,,,,,
x-ai/grok-4.3,T01-Q2,T01,,,,,,,,,,
x-ai/grok-4.3,T02-Q2,T02,,,,,,,,,,
x-ai/grok-4.3,T03-Q2,T03,,,,,,,,,,
x-ai/grok-4.3,T04-Q2,T04,,,,,,,,,,
x-ai/grok-4.3,T05-Q2,T05,,,,,,,,,,
x-ai/grok-4.3,T06-Q2,T06,,,,,,,,,,
x-ai/grok-4.3,T07-Q2,T07,,,,,,,,,,
x-ai/grok-4.3,T08-Q2,T08,,,,,,,,,,
x-ai/grok-4.3,T09-Q2,T09,,,,,,,,,,
x-ai/grok-4.3,T10-Q2,T10,,,,,,,,,,
