model,topic,n_questions_in_topic,n_questions_scored_in_topic,mean_score_A_topic,mean_score_B_topic,mean_delta_AB_topic
anthropic/claude-opus-4.7,T01,2,2,3,4,1
anthropic/claude-opus-4.7,T02,2,2,3,3.5,0.5
anthropic/claude-opus-4.7,T03,2,2,3,4,1
anthropic/claude-opus-4.7,T04,2,2,3,4,1
anthropic/claude-opus-4.7,T05,2,2,3,3.5,0.5
anthropic/claude-opus-4.7,T06,2,2,3,4,1
anthropic/claude-opus-4.7,T07,2,2,3,3,0
anthropic/claude-opus-4.7,T08,2,2,3,4,1
anthropic/claude-opus-4.7,T09,2,2,3,3.5,0.5
anthropic/claude-opus-4.7,T10,2,2,3,3.5,0.5
google/gemma-2-27b-it,T01,2,2,3,3,0
google/gemma-2-27b-it,T02,2,2,3,3,0
google/gemma-2-27b-it,T03,2,2,3,3,0
google/gemma-2-27b-it,T04,2,2,3,3,0
google/gemma-2-27b-it,T05,2,2,3,3,0
google/gemma-2-27b-it,T06,2,2,3,3,0
google/gemma-2-27b-it,T07,2,2,3,3,0
google/gemma-2-27b-it,T08,2,2,3,3,0
google/gemma-2-27b-it,T09,2,2,3,3,0
google/gemma-2-27b-it,T10,2,2,3,3,0
mistralai/mistral-large,T01,2,2,3,3,0
mistralai/mistral-large,T02,2,2,3,3,0
mistralai/mistral-large,T03,2,1,3,3,0
mistralai/mistral-large,T04,2,1,3,3,0
mistralai/mistral-large,T05,2,1,3,3,0
mistralai/mistral-large,T06,2,2,3,3,0
mistralai/mistral-large,T07,2,1,3,3,0
mistralai/mistral-large,T08,2,2,3,2.5,-0.5
mistralai/mistral-large,T09,2,2,3,3,0
mistralai/mistral-large,T10,2,1,3,3,0
openai/gpt-4.1,T01,2,2,3,3,0
openai/gpt-4.1,T02,2,2,3,3,0
openai/gpt-4.1,T03,2,2,3,3,0
openai/gpt-4.1,T04,2,2,3,3,0
openai/gpt-4.1,T05,2,2,3,2.5,-0.5
openai/gpt-4.1,T06,2,2,3,3,0
openai/gpt-4.1,T07,2,2,3,2.5,-0.5
openai/gpt-4.1,T08,2,2,3,2.5,-0.5
openai/gpt-4.1,T09,2,2,3,3,0
openai/gpt-4.1,T10,2,2,3,2,-1
x-ai/grok-4.3,T01,2,2,3,4,1
x-ai/grok-4.3,T02,2,2,3,3,0
x-ai/grok-4.3,T03,2,2,3,3,0
x-ai/grok-4.3,T04,2,2,3,3.5,0.5
x-ai/grok-4.3,T05,2,2,3,4,1
x-ai/grok-4.3,T06,2,2,3,3.5,0.5
x-ai/grok-4.3,T07,2,2,3,3.5,0.5
x-ai/grok-4.3,T08,2,2,2.5,5,2.5
x-ai/grok-4.3,T09,2,2,3,3,0
x-ai/grok-4.3,T10,2,2,3,3.5,0.5
