model,topic,n_questions_in_topic,n_questions_scored_in_topic,mean_score_A_topic,mean_score_B_topic,mean_delta_AB_topic
baidu/ernie-4.5-300b-a47b,T01,3,3,3,3,0
baidu/ernie-4.5-300b-a47b,T02,3,3,3,4,1
baidu/ernie-4.5-300b-a47b,T03,3,3,3.333,4,0.667
baidu/ernie-4.5-300b-a47b,T04,3,3,3,2.333,-0.667
baidu/ernie-4.5-300b-a47b,T05,3,3,3,3,0
baidu/ernie-4.5-300b-a47b,T06,3,3,3,3,0
baidu/ernie-4.5-300b-a47b,T07,3,3,3,3,0
baidu/ernie-4.5-300b-a47b,T08,3,3,3,3,0
baidu/ernie-4.5-300b-a47b,T09,3,3,3,3,0
baidu/ernie-4.5-300b-a47b,T10,3,3,3,2.333,-0.667
bytedance-seed/seed-1.6,T01,1,0,,,
moonshotai/kimi-k2.6,T01,3,3,2.667,2.333,-0.333
moonshotai/kimi-k2.6,T02,3,3,3,2.667,-0.333
moonshotai/kimi-k2.6,T03,3,3,2.667,3,0.333
moonshotai/kimi-k2.6,T04,3,3,3,2.333,-0.667
moonshotai/kimi-k2.6,T05,3,3,3.333,3.333,0
moonshotai/kimi-k2.6,T06,3,3,2.667,4.333,1.667
moonshotai/kimi-k2.6,T07,3,3,2.333,2.667,0.333
moonshotai/kimi-k2.6,T08,3,3,2.667,3,0.333
moonshotai/kimi-k2.6,T09,3,3,3,3,0
moonshotai/kimi-k2.6,T10,3,3,2.333,2.667,0.333
z-ai/glm-4.7,T01,3,3,2,3,1
z-ai/glm-4.7,T02,3,3,2.333,3.333,1
z-ai/glm-4.7,T03,3,3,2,2,0
z-ai/glm-4.7,T04,3,3,3,2.333,-0.667
z-ai/glm-4.7,T05,3,3,2.667,3,0.333
z-ai/glm-4.7,T06,3,3,3,3,0
z-ai/glm-4.7,T07,3,3,2.667,2.333,-0.333
z-ai/glm-4.7,T08,3,3,2.667,3,0.333
z-ai/glm-4.7,T09,3,3,3,3,0
z-ai/glm-4.7,T10,3,3,1.667,2.667,1
