model,model_class,n_questions_attempted,n_questions_scored,mean_score_A,mean_score_B,mean_delta_AB,std_delta_AB,refusal_rate_A,refusal_rate_B,mean_hedge_ratio_A,mean_hedge_ratio_B
anthropic/claude-opus-4,us-closed,30,30,3,3.267,0.267,0.45,0.0,0.0,0.396,0.224
anthropic/claude-opus-4.1,us-closed,30,30,3,3.4,0.4,0.563,0.0,0.0,0.351,0.234
anthropic/claude-opus-4.5,us-closed,30,30,3,3.233,0.233,0.43,0.0,0.0,0.276,0.155
anthropic/claude-opus-4.6,us-closed,30,30,3.033,3.433,0.4,0.498,0.0,0.0,0.25,0.107
deepseek/deepseek-chat,chinese-open,30,30,2.933,3.333,0.4,0.855,0.0,0.0,0.161,0.116
deepseek/deepseek-chat-v3.1,chinese-open,30,30,3,3.267,0.267,0.583,0.0,0.0,0.189,0.166
google/gemini-2.0-flash-001,us-closed,30,30,3.033,3.033,0,0.263,0.0,0.0,0.223,0.259
moonshotai/kimi-k2,unknown,30,28,3.034,3.552,0.464,1.105,0.0,0.0,0.093,0.04
moonshotai/kimi-k2-thinking,unknown,30,30,2.967,3.467,0.5,0.777,0.0,0.0,0.149,0.118
qwen/qwen-2.5-72b-instruct,chinese-open,30,25,2.893,2.926,0.08,0.702,0.0,0.0,0.16,0.13
z-ai/glm-4.5,chinese-closed,30,30,2.833,3.4,0.567,0.817,0.0,0.0,0.307,0.148
z-ai/glm-4.6,chinese-closed,30,30,2.733,2.667,-0.067,0.868,0.0,0.0,0.093,0.077
