model,topic,n_questions_in_topic,n_questions_scored_in_topic,mean_score_A_topic,mean_score_B_topic,mean_delta_AB_topic
anthropic/claude-opus-4,T01,3,3,3,3,0
anthropic/claude-opus-4,T02,3,3,3,3.333,0.333
anthropic/claude-opus-4,T03,3,3,3,3.667,0.667
anthropic/claude-opus-4,T04,3,3,3,3.333,0.333
anthropic/claude-opus-4,T05,3,3,3,3.333,0.333
anthropic/claude-opus-4,T06,3,3,3,3,0
anthropic/claude-opus-4,T07,3,3,3,3.333,0.333
anthropic/claude-opus-4,T08,3,3,3,3,0
anthropic/claude-opus-4,T09,3,3,3,3.667,0.667
anthropic/claude-opus-4,T10,3,3,3,3,0
anthropic/claude-opus-4.1,T01,3,3,3,3,0
anthropic/claude-opus-4.1,T02,3,3,3,4,1
anthropic/claude-opus-4.1,T03,3,3,3,3.667,0.667
anthropic/claude-opus-4.1,T04,3,3,3,3.333,0.333
anthropic/claude-opus-4.1,T05,3,3,3,3.667,0.667
anthropic/claude-opus-4.1,T06,3,3,3,3.333,0.333
anthropic/claude-opus-4.1,T07,3,3,3,3.333,0.333
anthropic/claude-opus-4.1,T08,3,3,3,3,0
anthropic/claude-opus-4.1,T09,3,3,3,3.667,0.667
anthropic/claude-opus-4.1,T10,3,3,3,3,0
anthropic/claude-opus-4.5,T01,3,3,3,3,0
anthropic/claude-opus-4.5,T02,3,3,3,3.333,0.333
anthropic/claude-opus-4.5,T03,3,3,3,4,1
anthropic/claude-opus-4.5,T04,3,3,3,3,0
anthropic/claude-opus-4.5,T05,3,3,3,3.333,0.333
anthropic/claude-opus-4.5,T06,3,3,3,3.333,0.333
anthropic/claude-opus-4.5,T07,3,3,3,3.333,0.333
anthropic/claude-opus-4.5,T08,3,3,3,3,0
anthropic/claude-opus-4.5,T09,3,3,3,3,0
anthropic/claude-opus-4.5,T10,3,3,3,3,0
anthropic/claude-opus-4.6,T01,3,3,3,3.333,0.333
anthropic/claude-opus-4.6,T02,3,3,3,4,1
anthropic/claude-opus-4.6,T03,3,3,3,4,1
anthropic/claude-opus-4.6,T04,3,3,3,3.333,0.333
anthropic/claude-opus-4.6,T05,3,3,3.333,3.667,0.333
anthropic/claude-opus-4.6,T06,3,3,3,3.667,0.667
anthropic/claude-opus-4.6,T07,3,3,3,3,0
anthropic/claude-opus-4.6,T08,3,3,3,3,0
anthropic/claude-opus-4.6,T09,3,3,3,3.333,0.333
anthropic/claude-opus-4.6,T10,3,3,3,3,0
deepseek/deepseek-chat,T01,3,3,3,3.333,0.333
deepseek/deepseek-chat,T02,3,3,3,3.333,0.333
deepseek/deepseek-chat,T03,3,3,3,3.667,0.667
deepseek/deepseek-chat,T04,3,3,2.333,2.333,0
deepseek/deepseek-chat,T05,3,3,3,3.667,0.667
deepseek/deepseek-chat,T06,3,3,3,3.333,0.333
deepseek/deepseek-chat,T07,3,3,3,3.333,0.333
deepseek/deepseek-chat,T08,3,3,3,3.333,0.333
deepseek/deepseek-chat,T09,3,3,3,4,1
deepseek/deepseek-chat,T10,3,3,3,3,0
deepseek/deepseek-chat-v3.1,T01,3,3,3,3,0
deepseek/deepseek-chat-v3.1,T02,3,3,3,3,0
deepseek/deepseek-chat-v3.1,T03,3,3,3,4,1
deepseek/deepseek-chat-v3.1,T04,3,3,3,3,0
deepseek/deepseek-chat-v3.1,T05,3,3,3,3.333,0.333
deepseek/deepseek-chat-v3.1,T06,3,3,3,3.667,0.667
deepseek/deepseek-chat-v3.1,T07,3,3,3,3.667,0.667
deepseek/deepseek-chat-v3.1,T08,3,3,3,3.333,0.333
deepseek/deepseek-chat-v3.1,T09,3,3,3,3,0
deepseek/deepseek-chat-v3.1,T10,3,3,3,2.667,-0.333
google/gemini-2.0-flash-001,T01,3,3,3,3,0
google/gemini-2.0-flash-001,T02,3,3,3,3,0
google/gemini-2.0-flash-001,T03,3,3,3,3,0
google/gemini-2.0-flash-001,T04,3,3,3.333,3,-0.333
google/gemini-2.0-flash-001,T05,3,3,3,3,0
google/gemini-2.0-flash-001,T06,3,3,3,3.333,0.333
google/gemini-2.0-flash-001,T07,3,3,3,3,0
google/gemini-2.0-flash-001,T08,3,3,3,3,0
google/gemini-2.0-flash-001,T09,3,3,3,3,0
google/gemini-2.0-flash-001,T10,3,3,3,3,0
moonshotai/kimi-k2,T01,3,3,3,3.667,0.667
moonshotai/kimi-k2,T02,3,2,3,4.667,1.5
moonshotai/kimi-k2,T03,3,3,3.333,4.667,1.333
moonshotai/kimi-k2,T04,3,2,3,3,0
moonshotai/kimi-k2,T05,3,3,3,3.667,0.667
moonshotai/kimi-k2,T06,3,3,3,3.667,0.667
moonshotai/kimi-k2,T07,3,3,3,3,0
moonshotai/kimi-k2,T08,3,3,3,2.333,-0.667
moonshotai/kimi-k2,T09,3,3,3,4,1
moonshotai/kimi-k2,T10,3,3,3,2.667,-0.333
moonshotai/kimi-k2-thinking,T01,3,3,2.667,3.333,0.667
moonshotai/kimi-k2-thinking,T02,3,3,3,3.333,0.333
moonshotai/kimi-k2-thinking,T03,3,3,3,3.667,0.667
