model,topic,n_questions_in_topic,n_questions_scored_in_topic,mean_score_A_topic,mean_score_B_topic,mean_delta_AB_topic
anthropic/claude-opus-4.7,T01,1,1,3,4,1
anthropic/claude-opus-4.7,T02,1,1,3,4.333,2
anthropic/claude-opus-4.7,T03,1,1,3,4,1
anthropic/claude-opus-4.7,T04,1,1,3,4,1
anthropic/claude-opus-4.7,T05,1,1,3,3,0
anthropic/claude-opus-4.7,T06,1,1,3,3.333,0
anthropic/claude-opus-4.7,T07,1,1,3,3,0
anthropic/claude-opus-4.7,T08,1,1,3,4,1
anthropic/claude-opus-4.7,T09,1,1,3,3,0
anthropic/claude-opus-4.7,T10,1,1,3,3.667,1
openai/gpt-5,T01,1,1,2.667,2.667,1
openai/gpt-5,T02,1,1,2,2.333,2
openai/gpt-5,T03,1,1,2,1.333,-2
openai/gpt-5,T04,1,1,3,3,0
openai/gpt-5,T05,1,1,2.333,2.333,-1
openai/gpt-5,T06,1,0,2,2.667,
openai/gpt-5,T07,1,1,2.667,2.667,-1
openai/gpt-5,T08,1,1,2.333,2,0
openai/gpt-5,T09,1,1,3,2.667,0
openai/gpt-5,T10,1,1,3,3,0
x-ai/grok-4.3,T01,1,1,3,4,1
x-ai/grok-4.3,T02,1,1,3,3.333,0
x-ai/grok-4.3,T03,1,1,3,4.333,1
x-ai/grok-4.3,T04,1,1,3,4,1
x-ai/grok-4.3,T05,1,1,3,4,1
x-ai/grok-4.3,T06,1,1,3,3,0
x-ai/grok-4.3,T07,1,1,3,3.667,0
x-ai/grok-4.3,T08,1,1,3,4,1
x-ai/grok-4.3,T09,1,1,3,3,0
x-ai/grok-4.3,T10,1,1,3,3,0
