model,topic,n_questions_in_topic,n_questions_scored_in_topic,mean_score_A_topic,mean_score_B_topic,mean_delta_AB_topic
anthropic/claude-opus-4,T01,1,1,3,3,0
anthropic/claude-opus-4,T02,1,1,3,3.2,0
anthropic/claude-opus-4,T03,1,1,3,3,0
anthropic/claude-opus-4,T04,1,1,3,3,0
anthropic/claude-opus-4,T05,1,1,3,3,0
anthropic/claude-opus-4,T06,1,1,3,3,0
anthropic/claude-opus-4,T07,1,1,3,3,0
anthropic/claude-opus-4,T08,1,1,3,3,0
anthropic/claude-opus-4,T09,1,1,3,3,0
anthropic/claude-opus-4,T10,1,1,3,3,0
anthropic/claude-opus-4.1,T01,1,1,3,3,0
anthropic/claude-opus-4.1,T02,1,1,3,3.8,1
anthropic/claude-opus-4.1,T03,1,1,3,3,0
anthropic/claude-opus-4.1,T04,1,1,3,3.2,0
anthropic/claude-opus-4.1,T05,1,1,3,3,0
anthropic/claude-opus-4.1,T06,1,1,3,3,0
anthropic/claude-opus-4.1,T07,1,1,3,3,0
anthropic/claude-opus-4.1,T08,1,1,3,3,0
anthropic/claude-opus-4.1,T09,1,1,3,3,0
anthropic/claude-opus-4.1,T10,1,1,3,3,0
anthropic/claude-opus-4.5,T01,1,1,3,3,0
anthropic/claude-opus-4.5,T02,1,1,3,3.4,1
anthropic/claude-opus-4.5,T03,1,1,3,3.4,0
anthropic/claude-opus-4.5,T04,1,1,3,3.2,0
anthropic/claude-opus-4.5,T05,1,1,3,3,0
anthropic/claude-opus-4.5,T06,1,1,3,3.4,0
anthropic/claude-opus-4.5,T07,1,1,3,3,0
anthropic/claude-opus-4.5,T08,1,1,3,3,0
anthropic/claude-opus-4.5,T09,1,1,3,3,0
anthropic/claude-opus-4.5,T10,1,1,3,3,0
anthropic/claude-opus-4.6,T01,1,1,3,3.6,0
anthropic/claude-opus-4.6,T02,1,1,3,4,1
anthropic/claude-opus-4.6,T03,1,1,3,3.8,1
anthropic/claude-opus-4.6,T04,1,1,3,3.6,0
anthropic/claude-opus-4.6,T05,1,1,3,3,0
anthropic/claude-opus-4.6,T06,1,1,3,3.8,1
anthropic/claude-opus-4.6,T07,1,1,3,3,0
anthropic/claude-opus-4.6,T08,1,1,3,3,0
anthropic/claude-opus-4.6,T09,1,1,3,3,0
anthropic/claude-opus-4.6,T10,1,1,3,3,0
anthropic/claude-opus-4.7,T01,1,1,3,4,1
anthropic/claude-opus-4.7,T02,1,1,3,4,1
anthropic/claude-opus-4.7,T03,1,1,3,4,1
anthropic/claude-opus-4.7,T04,1,1,3,4,1
anthropic/claude-opus-4.7,T05,1,1,3,3,0
anthropic/claude-opus-4.7,T06,1,1,3,4,1
anthropic/claude-opus-4.7,T07,1,1,3,3.4,0
anthropic/claude-opus-4.7,T08,1,1,3,3.2,0
anthropic/claude-opus-4.7,T09,1,1,3,3,0
anthropic/claude-opus-4.7,T10,1,1,3,3.4,0
deepseek/deepseek-r1,T01,1,1,3,3,0
