model,topic,n_questions_in_topic,n_questions_scored_in_topic,mean_score_A_topic,mean_score_B_topic,mean_delta_AB_topic
anthropic/claude-opus-4.7,T01,1,0,,,
anthropic/claude-opus-4.7,T02,1,0,,,
anthropic/claude-opus-4.7,T03,1,0,,,
anthropic/claude-opus-4.7,T04,1,0,,,
anthropic/claude-opus-4.7,T05,1,0,,,
anthropic/claude-opus-4.7,T06,1,0,,,
anthropic/claude-opus-4.7,T07,1,0,,,
anthropic/claude-opus-4.7,T08,1,0,,,
anthropic/claude-opus-4.7,T09,1,0,,,
anthropic/claude-opus-4.7,T10,1,0,,,
x-ai/grok-4.3,T01,1,0,,,
x-ai/grok-4.3,T02,1,0,,,
x-ai/grok-4.3,T03,1,0,,,
x-ai/grok-4.3,T04,1,0,,,
x-ai/grok-4.3,T05,1,0,,,
x-ai/grok-4.3,T06,1,0,,,
x-ai/grok-4.3,T07,1,0,,,
x-ai/grok-4.3,T08,1,0,,,
x-ai/grok-4.3,T09,1,0,,,
x-ai/grok-4.3,T10,1,0,,,
